raman_shift_cm-1,group_1_mean,group_1_sd,group_1_n,group_2_mean,group_2_sd,group_2_n,group_3_mean,group_3_sd,group_3_n,group_4_mean,group_4_sd,group_4_n
663.76,0.07152,0.0306202,7,0.240769,0.0897854,9,0.0637713,0.0353077,17,0.0276137,0.00562996,6
666.559,0.0742758,0.0331863,7,0.238292,0.0886255,9,0.0635989,0.0352965,17,0.031011,0.00717525,6
669.358,0.0743344,0.0339434,7,0.231629,0.0867839,9,0.0617814,0.0351288,17,0.0318422,0.00758434,6
672.155,0.0698946,0.0315863,7,0.220934,0.084065,9,0.0567181,0.0321492,17,0.0307567,0.00809393,6
674.95,0.0610879,0.0271609,7,0.210414,0.084962,9,0.0510609,0.0304102,17,0.0311274,0.00913377,6
677.744,0.0509349,0.023112,7,0.194327,0.0802059,9,0.0444731,0.0281055,17,0.0313831,0.00995763,6
680.538,0.0392595,0.0181953,7,0.174408,0.0730442,9,0.0362977,0.0246938,17,0.0301388,0.0118848,6
683.329,0.0275224,0.0133209,7,0.15527,0.06507,9,0.0275895,0.0208063,17,0.029488,0.0105348,6
686.119,0.0167381,0.00892919,7,0.135183,0.0580728,9,0.0200006,0.0180894,17,0.0271262,0.0102227,6
688.908,0.0107006,0.00606156,7,0.123225,0.0549263,9,0.0151076,0.0173529,17,0.0286998,0.0104206,6
691.695,0.00731356,0.00483434,7,0.110543,0.0492358,9,0.0121968,0.0165544,17,0.0369192,0.0108771,6
694.482,0.00828923,0.00629376,7,0.103748,0.0458366,9,0.0110631,0.0153263,17,0.0551289,0.00994124,6
697.267,0.00820002,0.00760562,7,0.102398,0.0453004,9,0.0109422,0.0165952,17,0.0865242,0.0107946,6
700.05,0.00874394,0.00826982,7,0.101761,0.0438839,9,0.00974,0.0156087,17,0.122194,0.00798144,6
702.833,0.0080647,0.00901506,7,0.107218,0.0481191,9,0.00908899,0.0153417,17,0.154478,0.00782708,6
705.613,0.00771651,0.00973438,7,0.112531,0.0528276,9,0.00835941,0.0156289,17,0.179018,0.0051822,6
708.393,0.00836372,0.00913706,7,0.117208,0.0610468,9,0.00821715,0.0159861,17,0.195879,0.00733191,6
711.17,0.00711012,0.0071632,7,0.122392,0.0645148,9,0.00765358,0.0140006,17,0.201345,0.00956657,6
713.947,0.00721157,0.00656456,7,0.13001,0.0703648,9,0.00789217,0.0146927,17,0.197545,0.0110384,6
716.722,0.00771768,0.00724364,7,0.129867,0.0715454,9,0.00779048,0.0140808,17,0.18238,0.014334,6
719.496,0.00843449,0.00759614,7,0.129015,0.0709424,9,0.00768284,0.0137899,17,0.155451,0.0158962,6
722.269,0.00805214,0.00754061,7,0.12946,0.0701511,9,0.00844038,0.0153974,17,0.121571,0.0149461,6
725.041,0.00754779,0.00667199,7,0.129937,0.0689738,9,0.00875119,0.0157437,17,0.0858128,0.0143642,6
727.81,0.00711908,0.00679406,7,0.130748,0.0663315,9,0.00891025,0.016398,17,0.0559322,0.0150783,6
730.579,0.00643013,0.00626864,7,0.12799,0.0634919,9,0.00916214,0.0169109,17,0.035516,0.0149827,6
733.346,0.00599772,0.00642416,7,0.127381,0.0611841,9,0.00969183,0.0178309,17,0.0279617,0.0164092,6
736.113,0.00580363,0.00624216,7,0.127422,0.0597766,9,0.00963,0.0184241,17,0.0299495,0.0143726,6
738.877,0.00544513,0.00535964,7,0.12379,0.0547823,9,0.00912114,0.0175671,17,0.033014,0.0107291,6
741.64,0.0046805,0.00404008,7,0.121581,0.0542438,9,0.00837269,0.0163751,17,0.0327235,0.00999233,6
744.402,0.00480245,0.00391957,7,0.114334,0.0511839,9,0.00796045,0.0160575,17,0.0318213,0.00848988,6
747.162,0.00450637,0.00317163,7,0.106953,0.0515084,9,0.00762031,0.0149637,17,0.0324481,0.0104312,6
749.922,0.00371874,0.0021147,7,0.100711,0.0518114,9,0.00692391,0.0137795,17,0.0297333,0.00944903,6
